id,area,loss_0_1,diff_loss,diff_target
8547,149,0,0,0
8595,149,0,0,0
8831,149,0,0,0
8908,149,0,0,0
9274,149,0,0,0
9384,149,0,0,0
9421,149,0,0,0
9449,149,0,0,0
9483,149,0,0,0
9758,149,0,0,0
9779,149,0,0,0
9909,149,0,0,0
10213,149,0,0,0
10225,149,0,0,0
10231,149,0,0,0
10239,149,0,0,0
10262,149,0,0,0
10266,149,0,0,0
10367,149,0,0,0
10471,149,0,0,0
10778,149,0,0,0
11001,149,0,0,0
11078,149,1,1,0
11245,149,0,0,0
11278,149,0,0,0
11482,149,0,0,0
11510,149,0,0,0
12022,149,0,0,0
12116,149,0,0,0
12217,149,0,0,0
12259,149,0,0,0
12452,149,0,0,0
12617,149,0,0,0
12643,149,0,0,0
12668,149,0,0,0
12881,149,0,0,0
13221,149,0,0,0
13640,149,0,0,0
13844,149,0,0,0
14127,149,0,0,0
14421,149,0,0,0
14611,149,0,0,0
14782,149,0,0,0
15005,149,0,0,0
15391,149,0,0,0
15463,149,0,0,0
15475,149,0,0,0
15674,149,0,0,0
15799,149,0,0,0
16150,149,0,0,0
16271,149,0,0,0
16338,149,0,0,0
16406,149,0,0,0
16516,149,1,1,0
16675,149,0,0,0
17251,149,0,0,0
17282,149,0,0,0
17345,149,0,0,0
17378,149,0,0,0
17428,149,0,0,0
17447,149,0,0,0
17449,149,0,0,0
17707,149,0,0,0
17792,149,0,0,0
17893,149,0,0,0
18046,149,0,0,0
18092,149,0,0,0
18195,149,0,0,0
18244,149,0,0,0
18336,149,0,0,0
18414,149,0,0,0
18713,149,0,0,0
19358,149,1,1,0
19371,149,0,0,0
19467,149,0,0,0
19510,149,0,0,0
19646,149,0,0,0
20002,149,0,0,0
20253,149,0,0,0
20288,149,0,0,0
20387,149,0,0,0
20672,149,0,0,0
20872,149,0,0,0
20992,149,0,0,0
21193,149,0,0,0
21237,149,0,0,0
21479,149,0,0,0
21550,149,0,0,0
21607,149,0,0,0
21854,149,0,0,0
22074,149,0,0,0
22256,149,0,0,0
22570,149,0,0,0
22621,149,0,0,0
22740,149,0,0,0
22822,149,0,0,0
22829,149,0,0,0
22839,149,0,0,0
22871,149,0,0,0
22904,149,0,0,0
22959,149,0,0,0
22998,149,0,0,0
23038,149,0,0,0
23167,149,0,0,0
23419,149,0,0,0
23462,149,0,0,0
23604,149,0,0,0
23938,149,0,0,0
24067,149,0,0,0
24106,149,0,0,0
24179,149,0,0,0
24216,149,0,0,0
24274,149,0,0,0
24531,149,0,0,0
24680,149,0,0,0
24901,149,0,0,0
25052,149,0,0,0
25136,149,0,0,0
25289,149,0,0,0
25691,149,0,0,0
25907,149,0,0,0
26002,149,0,0,0
26039,149,0,0,0
26113,149,0,0,0
49198,374,0,0,0
49183,374,0,0,0
49156,374,0,0,0
49154,374,0,0,0
49147,374,0,0,0
49109,374,0,0,0
49096,374,0,0,0
49083,374,0,0,0
49080,374,0,0,0
49072,374,0,0,0
49041,374,0,0,0
49033,374,0,0,0
49029,374,0,0,0
49016,374,0,0,0
49011,374,0,0,0
48995,374,0,0,0
165,374,0,0,0
163,374,0,0,0
159,374,0,0,0
137,374,0,0,0
133,374,0,0,0
110,374,0,0,0
109,374,0,0,0
100,374,0,0,0
99,374,0,0,0
85,374,0,0,0
79,374,0,0,0
74,374,0,0,0
70,374,0,0,0
69,374,0,0,0
52,374,0,0,0
49238,374,0,0,0
1723,374,0,0,0
1713,374,0,0,0
1677,374,0,0,0
1667,374,0,0,0
1627,374,0,0,0
1622,374,0,0,0
1591,374,0,0,0
1564,374,0,0,0
1550,374,0,0,0
1524,374,0,0,0
1444,374,0,0,0
1442,374,0,0,0
1207,374,0,0,0
1199,374,0,0,0
1150,374,0,0,0
1019,374,0,0,0
2012,374,0,0,0
1985,374,0,0,0
1923,374,0,0,0
1922,374,0,0,0
1898,374,0,0,0
1895,374,0,0,0
1889,374,0,0,0
1877,374,0,0,0
1841,374,0,0,0
1830,374,0,0,0
1820,374,0,0,0
1811,374,0,0,0
1778,374,0,0,0
1755,374,0,0,0
1744,374,0,0,0
1735,374,0,0,0
2348,374,0,0,0
2341,374,0,0,0
2338,374,0,0,0
2318,374,0,0,0
2280,374,0,0,0
2193,374,0,0,0
2184,374,0,0,0
2183,374,0,0,0
2121,374,0,0,0
2099,374,0,0,0
2084,374,0,0,0
2057,374,0,0,0
2048,374,0,0,0
2034,374,0,0,0
2031,374,0,0,0
2029,374,0,0,0
2598,374,0,0,0
2589,374,0,0,0
2581,374,0,0,0
2579,374,0,0,0
2559,374,0,0,0
2535,374,0,0,0
2531,374,0,0,0
2503,374,0,0,0
2486,374,0,0,0
2459,374,0,0,0
2410,374,0,0,0
2409,374,0,0,0
2406,374,0,0,0
2384,374,0,0,0
2383,374,0,0,0
2354,374,0,0,0
2927,374,0,0,0
2904,374,0,0,0
2893,374,0,0,0
2887,374,0,0,0
2880,374,0,0,0
2876,374,0,0,0
2833,374,0,0,0
2828,374,0,0,0
2783,374,0,0,0
2770,374,0,0,0
2733,374,0,0,0
2722,374,0,0,0
2700,374,0,0,0
2666,374,0,0,0
2658,374,0,0,0
2606,374,0,0,0
3208,374,0,0,0
3198,374,0,0,0
3189,374,0,0,0
3149,374,0,0,0
3131,374,0,0,0
3104,374,0,0,0
3095,374,0,0,0
3067,374,0,0,0
3042,374,0,0,0
3035,374,0,0,0
3028,374,0,0,0
3008,374,0,0,0
2991,374,0,0,0
2987,374,0,0,0
2971,374,0,0,0
2950,374,0,0,0
3365,374,0,0,0
3355,374,0,0,0
3350,374,0,0,0
3330,374,0,0,0
3328,374,0,0,0
3325,374,0,0,0
3311,374,0,0,0
3286,374,0,0,0
3285,374,0,0,0
3271,374,0,0,0
3260,374,0,0,0
4,155,0,0,0
208,155,0,0,0
407,155,0,0,0
599,155,0,0,0
613,155,0,0,0
614,155,0,0,0
734,155,0,0,0
782,155,0,0,0
924,155,0,0,0
1090,155,0,0,0
1097,155,0,0,0
1111,155,0,0,0
1474,155,0,0,0
1552,155,0,0,0
1635,155,0,0,0
1660,155,0,0,0
1668,155,0,0,0
1792,155,0,0,0
1821,155,0,0,0
1862,155,0,0,0
1942,155,0,0,0
1943,155,0,0,0
1954,155,0,0,0
2728,155,0,0,0
3661,155,0,0,0
3686,155,0,0,0
4390,155,0,0,0
4659,155,0,0,0
4804,155,0,0,0
4816,155,0,0,0
4912,155,0,0,0
5014,155,0,0,0
5079,155,0,0,0
5136,155,0,0,0
5358,155,0,0,0
