id,area,loss_0_1,diff_loss,diff_target
4915,299,0,0,0
102,303,1,0,-1
150,303,1,0,-1
213,303,1,0,-1
225,303,1,0,-1
424,303,1,0,-1
325,303,1,0,-1
523,303,1,0,-1
835,303,1,0,-1
961,303,1,0,-1
866,303,1,0,-1
868,303,1,0,-1
937,303,1,0,-1
1017,303,1,0,-1
1008,303,1,0,-1
1254,303,1,0,-1
1085,303,1,0,-1
2009,303,1,0,-1
1832,303,1,0,-1
1381,303,1,0,-1
1420,303,1,0,-1
1629,303,1,0,-1
1519,303,1,0,-1
1632,303,1,0,-1
1758,303,1,0,-1
2283,303,1,0,-1
2053,303,1,0,-1
1863,303,1,0,-1
1986,303,1,0,-1
2727,303,1,0,-1
2941,303,1,0,-1
2899,303,1,0,-1
2742,303,1,0,-1
3769,303,1,0,-1
4033,303,1,0,-1
4144,303,1,0,-1
3073,303,1,0,-1
3101,303,1,0,-1
3173,303,1,0,-1
3174,303,1,0,-1
3206,303,1,0,-1
3218,303,1,0,-1
3295,303,1,0,-1
3375,303,1,0,-1
3390,303,1,0,-1
3407,303,1,0,-1
3488,303,1,0,-1
3614,303,1,0,-1
3660,303,1,0,-1
4831,303,1,0,-1
4843,303,1,0,-1
4895,303,1,0,-1
4254,303,1,0,-1
4413,303,1,0,-1
4425,303,1,0,-1
4517,303,1,0,-1
4693,303,1,0,-1
5029,303,1,0,-1
5172,303,1,0,-1
5182,303,1,0,-1
4922,303,1,0,-1
5287,303,1,0,-1
5503,303,1,0,-1
5378,303,1,0,-1
5367,303,1,0,-1
40739,303,1,0,-1
40619,303,1,0,-1
37476,303,1,0,-1
5531,303,1,0,-1
49896,182,0,0,0
49772,182,0,0,0
49744,182,0,0,0
49741,182,0,0,0
49740,182,0,0,0
49737,182,0,0,0
49729,182,0,0,0
49707,182,0,0,0
49696,182,0,0,0
49689,182,0,0,0
49688,182,0,0,0
49660,182,0,0,0
49648,182,0,0,0
49643,182,0,0,0
49641,182,0,0,0
49636,182,0,0,0
153,182,0,0,0
150,182,0,0,0
141,182,0,0,0
139,182,0,0,0
131,182,0,0,0
129,182,0,0,0
120,182,0,0,0
115,182,0,0,0
106,182,0,0,0
105,182,0,0,0
103,182,0,0,0
94,182,0,0,0
89,182,0,0,0
85,182,0,0,0
81,182,0,0,0
49945,182,0,0,0
1602,182,0,0,0
1597,182,0,0,0
1586,182,0,0,0
1584,182,0,0,0
1581,182,0,0,0
1567,182,0,0,0
1543,182,0,0,0
1542,182,0,0,0
1541,182,0,0,0
1536,182,0,0,0
1530,182,0,0,0
1524,182,0,0,0
1516,182,0,0,0
1502,182,0,0,0
1488,182,0,0,0
1479,182,0,0,0
1694,182,0,0,0
1691,182,0,0,0
1681,182,0,0,0
1680,182,0,0,0
1678,182,0,0,0
1675,182,0,0,0
1670,182,0,0,0
1660,182,0,0,0
1651,182,0,0,0
1650,182,0,0,0
1636,182,0,0,0
1633,182,0,0,0
1626,182,0,0,0
1619,182,0,0,0
1612,182,0,0,0
1610,182,0,0,0
1812,182,0,0,0
1806,182,0,0,0
1778,182,0,0,0
1777,182,0,0,0
1762,182,0,0,0
1754,182,0,0,0
1744,182,0,0,0
1741,182,0,0,0
1739,182,0,0,0
1734,182,0,0,0
1728,182,0,0,0
1726,182,0,0,0
1725,182,0,0,0
1721,182,0,0,0
1715,182,0,0,0
1713,182,0,0,0
1929,182,0,0,0
1927,182,0,0,0
1923,182,0,0,0
1907,182,0,0,0
1903,182,0,0,0
1899,182,0,0,0
1891,182,0,0,0
1883,182,0,0,0
1876,182,0,0,0
1862,182,0,0,0
1854,182,0,0,0
1852,182,0,0,0
1847,182,0,0,0
1845,182,0,0,0
1820,182,0,0,0
1814,182,0,0,0
2034,182,0,0,0
2032,182,0,0,0
2030,182,0,0,0
2015,182,0,0,0
2003,182,0,0,0
1999,182,0,0,0
1982,182,0,0,0
1980,182,0,0,0
1972,182,0,0,0
1967,182,0,0,0
1960,182,0,0,0
1950,182,0,0,0
1947,182,0,0,0
1946,182,0,0,0
1944,182,0,0,0
1931,182,0,0,0
2113,182,0,0,0
2106,182,0,0,0
2105,182,0,0,0
2096,182,0,0,0
2093,182,0,0,0
2083,182,0,0,0
2077,182,0,0,0
2076,182,0,0,0
2065,182,0,0,0
2064,182,0,0,0
2058,182,0,0,0
2044,182,0,0,0
2041,182,0,0,0
2038,182,0,0,0
2037,182,0,0,0
2035,182,0,0,0
2230,182,0,0,0
2220,182,0,0,0
2215,182,0,0,0
2210,182,0,0,0
2206,182,0,0,0
2205,182,0,0,0
2190,182,0,0,0
2183,182,0,0,0
2178,182,0,0,0
2168,182,0,0,0
2159,182,0,0,0
2158,182,0,0,0
2154,182,0,0,0
2143,182,0,0,0
2132,182,0,0,0
